Provincia;Regiones.x;Porcet-Sitieneseguro;Sitiene-acc-internet;Porcen-Sisabeleeryescrib;Porcet-accesoagua;Porc-votosV.Mendoza
 Datem del Marañón;Loreto;82.49453405;2.214850229;75.1391088;87;14.07
 Loreto;Loreto;79.56500152;2.63004517;78.07223061;82;12.18
 Mariscal Ramón Castilla;Loreto;74.30510271;0.966824645;80.87924661;60;7.27
 Maynas;Loreto;57.4097769;20.01946727;88.27301949;88;11.42
 Putumayo;Loreto;79.75578406;0.986078886;81.98223209;27;5.91
 Requena;Loreto;79.28081899;2.623742455;82.7951825;72;7.69
 Ucayali;Loreto;73.88216776;2.179993419;84.80576503;64;9.44
 General Sánchez Cerro;Moquegua;56.81130172;2.4980484;88.34497207;84;37.77
 Ilo;Moquegua;30.93678415;31.77138054;92.54532209;86;26.59
 Mariscal Nieto;Moquegua;35.9359805;24.44969099;90.61047791;93;25.49
 Daniel Alcides Carrión;Pasco;73.99954107;1.418439716;86.38678662;78;29.13
 Oxapampa;Pasco;63.28341146;8.329324996;84.62772162;89;10.63
 Pasco;Pasco;40.53814575;13.2086253;89.48809666;53;16.59
 Ayabaca;Piura;82.36522002;1.415603377;77.90259503;87;23.56
 Huancabamba;Piura;84.0781697;2.83971853;76.14876112;88;10.33
 Morropón;Piura;66.62099527;5.750422668;83.59166639;82;14.21
 Paita;Piura;46.16219629;14.48927725;88.20347386;73;15.13
 Piura;Piura;41.81886876;24.60381256;87.96581952;78;11.2
 Sechura;Piura;52.11614484;14.42190174;87.76044507;26;8.01
 Sullana;Piura;50.9163472;18.04986216;88.54616763;59;7.25
 Talara;Piura;35.76205342;22.88213027;91.58374217;26;19.61
 Azángaro;Puno;73.08772375;1.703401771;82.36517873;88;33.95
 Carabaya;Puno;65.83835684;1.399928817;83.59818714;80;33.96
 Chucuito;Puno;60.27617357;2.411278032;85.99054677;84;32.88
 El Collao;Puno;61.42177275;2.205431114;82.96230239;88;33.33
 Huancané;Puno;68.0543269;1.348504003;80.7753977;82;30.33
 Lampa;Puno;63.40806736;3.469992591;85.26516028;90;32.61
 Melgar;Puno;67.62936042;2.689238637;85.50182979;90;44.47
 Moho;Puno;72.52062978;0.510940798;80.63558218;87;31.01
 Puno;Puno;43.23853955;15.3051446;87.71484885;83;30.67
 San Antonio de Putina;Puno;50.93733559;1.579816081;86.44634772;82;21.71
